universe,asset_id,code,ticker,company_name,sector,index_weight_pct,constituent_vintage,source_url,source_note,price_source_note
Hang Seng Index,47,2331,2331.HK,LI NING,Commerce & Industry,0.82,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,48,9888,9888.HK,BIDU - SW,Commerce & Industry,0.81,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,49,9633,9633.HK,NONGFU SPRING,Commerce & Industry,0.76,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,50,2319,2319.HK,MENGNIU DAIRY,Commerce & Industry,0.7,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,51,1928,1928.HK,SANDS CHINA LTD,Commerce & Industry,0.68,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,52,1088,1088.HK,CHINA SHENHUA,Commerce & Industry,0.65,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,53,291,0291.HK,CHINA RES BEER,Commerce & Industry,0.64,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,54,981,0981.HK,SMIC,Commerce & Industry,0.64,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,55,2899,2899.HK,ZIJIN MINING,Commerce & Industry,0.58,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,56,2313,2313.HK,SHENZHOU INTL,Commerce & Industry,0.56,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,57,66,0066.HK,MTR CORPORATION,Commerce & Industry,0.55,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,58,992,0992.HK,LENOVO GROUP,Commerce & Industry,0.5,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,59,175,0175.HK,GEELY AUTO,Commerce & Industry,0.51,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,60,267,0267.HK,CITIC,Commerce & Industry,0.5,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,61,6618,6618.HK,JD HEALTH,Commerce & Industry,0.49,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,62,6690,6690.HK,HAIER SMARTHOME,Commerce & Industry,0.49,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,63,1093,1093.HK,CSPC PHARMA,Commerce & Industry,0.46,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,64,2382,2382.HK,SUNNY OPTICAL,Commerce & Industry,0.42,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,65,6862,6862.HK,HAIDILAO,Commerce & Industry,0.38,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,66,9961,9961.HK,TRIP.COM - S,Commerce & Industry,0.38,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,67,1177,1177.HK,SINO BIOPHARM,Commerce & Industry,0.31,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,68,762,0762.HK,CHINA UNICOM,Commerce & Industry,0.31,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,69,968,0968.HK,XINYI SOLAR,Commerce & Industry,0.3,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,70,1876,1876.HK,BUD APAC,Commerce & Industry,0.29,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,71,288,0288.HK,WH GROUP,Commerce & Industry,0.29,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,72,241,0241.HK,ALI HEALTH,Commerce & Industry,0.25,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,73,1929,1929.HK,CHOW TAI FOOK,Commerce & Industry,0.21,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,74,868,0868.HK,XINYI GLASS,Commerce & Industry,0.2,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,75,322,0322.HK,TINGYI,Commerce & Industry,0.19,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,76,1044,1044.HK,HENGAN INT'L,Commerce & Industry,0.18,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,77,1378,1378.HK,CHINAHONGQIAO,Commerce & Industry,0.18,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,78,881,0881.HK,ZHONGSHENG HLDG,Commerce & Industry,0.14,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,79,316,0316.HK,OOIL,Commerce & Industry,0.14,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,80,3692,3692.HK,HANSOH PHARMA,Commerce & Industry,0.1,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
